Classifier Name,Training Set,Test Set,Precision Suicide, Precision Non-suicide
Naive Bayes,all,sample_sentences,0.0,0.5
Naive Bayes,all,test_set,1.0,0.66
Naive Bayes,best,sample_sentences,1.0,1.0
Naive Bayes,best,test_set,0.62,0.64
Multinomial,all,sample_sentences,0.0,0.5
Multinomial,all,test_set,1.0,0.66
Multinomial,best,sample_sentences,1.0,1.0
Multinomial,best,test_set,0.62,0.64
Random Forest,all,sample_sentences,0.0,0.5
Random Forest,all,test_set,1.0,0.66
Random Forest,best,sample_sentences,0.5,0.0
Random Forest,best,test_set,0.53,0.85
SVM,all,sample_sentences,0.0,0.5
SVM,all,test_set,0.0,0.5
SVM,best,sample_sentences,0.5,0.0
SVM,best,test_set,0.53,0.9
